MECM40011, Writing for the Media
DENT40010, Oral Health Sci Research Proj Part 1
MEDS90039, MD Discovery 1: Foundation
POPH90308, Indigenous Data Governance in Health
MEDI90102, Vessels Nerves Lungs and Musculoskeletal
AGRI20044, Microbiology in Agriculture
HLTH90011, Research Project in Human Genomics 1
AMGT90014, Directed Reading in Cultural Management
LAWS50106, Murder
CHEN90041, Energy, Emissions and Pollution Control
BUSA90534, Immersive Business Experience
ENEN30003, Environmental Systems Modelling & Design
BUSA90478, Doing Business in Australia
ABPL90441, Planning Studio
ABPL90304, Flexible Urban Modelling
NURS90026, Independent Study Project
AGRI90070, Minor Research Project
PAED90026, Cancer Care in Young People
POLS90043, Comparative Regional Governance
LAWS50102, Street Law
SCIE90012, Science Communication
ACCT90031, Sustainability Reporting & Management
SCRN40018, Screen & Cultural Studies Thesis Part 2
KORE20006, Korean 6
ECON40019, Economics Research Essay Part 2
VETS30032, Animal Production Systems 2
ARBC40002, Honours Arabic B
FREN40005, French IV: Honours Language I
ELEN90016, Broadband Access Networking and Design
NURS90125, Nursing Science 2
LAWS70462, Sports Integrity and Investigations
COMP90005, Advanced Studies in Computing
BIOL90016, BioSciences Research Project Part 4
DRAM30030, Performance Practice 4
LAWS90145, Artificial Intelligence and the Law
POPH90069, Sexual and Reproductive Health
ELEN90077, Grid Integration of Renewables
POPH90257, Body of Ageing
AHIS40013, Advanced Art Fieldwork
ABPL90355, Issues and Techniques in Global Heritage
GEOG90046, Geography Research Project Part 3
DRAM20028, Performance Practice 1
AHIS40024, Art History Thesis Part 2
PSYC90124, Principles of consulting
LAWS50058, Melbourne University Law Review
BISY90009, Managing Information Technology
LING90002, Presenting Academic Discourse
HORT90004, Plant Production and Establishment
LAWS90074, Copyright and Designs
POPH90308, Indigenous Data Governance in Health
MEDI90102, Vessels Nerves Lungs and Musculoskeletal
ECOM90005, Advanced Econometric Techniques
LAWS70365, International Migration Law
AMGT90014, Directed Reading in Cultural Management
AGRI20044, Microbiology in Agriculture
HLTH90011, Research Project in Human Genomics 1
FREN10008, French 7
MEDS90033, Advanced Practice in Surgical Education
LAWS70053, Workplace Health and Safety
POPH90291, Indigenous Health in a Global Context
PHYC90049, Physics Research Project Pt 3
PUBL90019, Book Markets: Structures and Strategies
DNCE10029, Body Knowledges: Dance Science
ABPL90325, Prefabrication in Building
BUSA90543, Text Analytics for Business
MEDI90054, Ultrasound Guided Procedures
MUSI90156, Performing to Teach 2
CREA40001, Research Methods in the Creative Arts
POPH90289, Biostatistics Research Project Part 2
MAST90104, A First Course In Statistical Learning
ENGR90031, Energy Systems Project
LAWS70441, Managing Legal Risk in Construction
CHEN30016, Momentum, Mass and Heat Transfer
MCEN90045, Aerospace Dynamics and Control
FNCE90085, Communicating Current Issues in Finance
ANSC30002, Animal Disease Biotechnology 2
FLTV90040, Production Collaboration 2 Part 2
ELEN90016, Broadband Access Networking and Design
PSYC90012, Clinical Placement 1
ECOM90001, Basic Econometrics
ABPL90414, Lean Construction
COMP90005, Advanced Studies in Computing
BIOL90016, BioSciences Research Project Part 4
ARTS90049, Research in Gender
NURS90125, Nursing Science 2
LAWS70462, Sports Integrity and Investigations
PSYT90016, Forensic Psychiatry
MULT90019, Internship II (Semester Long)
AGRI20035, Applied Crop Production and Horticulture
PAED90020, Clinical Practice
LAWS50068, Equality and Discrimination Law
ERTH90033, Geology from Geophysics
BUSA90061, Data Analysis
ECOM90004, Time Series Analysis and Forecasting
ECOM90025, Advanced Data Analysis
PHTY90094, Research and Evidence 1
FOOD90037, MFPI Internship Part 1
ACCT90019, Financial Accounting Research
PHYC90011, Particle Physics
HIST40040, History Thesis Part 2
CLRS90011, Study Design in Clinical Research
MUSI40082, Major Project (Jazz & Improvisation)
ABPL90363, Property Research and Analysis
ABPL90130, Planning Law & Statutory Planning
BIOL90034, BioSciences Research Project Pt 4(Cont.)
LAWS90047, Law of International Organisations
ECON90079, Advanced Experimental Economics
FNCE90085, Communicating Current Issues in Finance
ASIA90015, Conflict and Terrorism in Southeast Asia
PHTY90107, Leadership and Management
LAWS70190, Corporate Governance & Directors' Duties
PSYC90100, Applied Research Methods
ECON90022, Game Theory
REHB90009, Innovation and Emerging Technologies
HORT90042, Managing Urban Trees
PHTY90003, Advanced Practice in Pelvic Floor Physio
SPAN30023, Spanish and Latin American Cinema
LAWS70028, International Trade Law
DENT90099, Periodontics 1
ACCT90011, Special Topics in Accounting
ERTH90028, Urban Soils, Substrates and Water
MUSI10021, MCM African Music and Dance Ensemble 1
DEVT90081, Leading Development
PPMN90031, Public Policy Lobbying Strategies
DRAM20034, Theatre Practice 2
MGMT90231, BioDesign Innovation
BMSC90028, Research Project A (MMS) Part 2
MUSI40106, Research Paper (Jazz & Improvisation)
MAST90067, Advanced Methods: Transforms
ELEN90094, Large Data Methods & Applications
CRIM90010, Crime Prevention: Critical Approaches
BUSA90522, Applied Analytics Lab
ARTS90040, Advanced Linguistics Analysis A
LAWS90187, Economic Analysis of Law
MEDS90011, Research Methods in Surgical Education
MEDI90136, Nursing/Junior Doctor - Practical
HORT90034, Landscape Design
HLTH90013, Research Project in Human Genomics 2
MIIM40005, Micro & Immuno Research Project Part 1
